lng,lat,farm,secret,server,ident
-122.321834,37.898166,9,260764241b,8092,8584641600
-122.319352,37.90315,9,41ec313d43,8388,8566983861
-122.32212,37.903032,9,ff6db8e6cf,8384,8564407130
-122.317872,37.902405,9,85f8c8cd3e,8372,8564210486
-122.319084,37.905935,9,f2bec77c9e,8252,8563107485
-122.322728,37.901021,9,e72d36d2f0,8376,8562886979
-122.322728,37.901021,9,b155cc102b,8510,8560259023
-122.322728,37.901021,9,d7d8b93eb2,8238,8560237189
-122.322728,37.901021,9,528ab98c34,8087,8561310128
-122.322728,37.901021,9,acd0e728d3,8087,8557790007
-122.322728,37.901021,9,ca71bcbce2,8525,8552620899
-122.322728,37.901021,9,aeee619515,8520,8553712948
-122.316834,37.906333,9,912e02a447,8234,8521685365
-122.321831,37.901441,9,719c20dfe8,8097,8511003589
-122.321831,37.901441,9,47603ed98c,8229,8505851654
-122.321831,37.901441,9,9e4af622a6,8381,8505837006
-122.321831,37.901441,9,fe2cd5f2f2,8366,8505830944
-122.321831,37.901441,9,68e3a02aab,8109,8505826440
-122.321831,37.901441,9,876fa57515,8108,8505828796
-122.321831,37.901441,9,f9229df46c,8392,8504706473
-122.321831,37.901441,9,488c794174,8384,8504665737
-122.317614,37.901389,9,3718424978,8252,8493413791
-122.317024,37.904454,9,9d9ca21168,8232,8489919090
-122.313053,37.898383,9,e97e02e8fb,8374,8484082755
-122.3225,37.897833,9,b595e12be5,8511,8480711206
-122.323884,37.902288,9,fcaa6e6af3,8106,8475113144
-122.321831,37.901441,9,c3665cf059,8089,8462785349
-122.321831,37.901441,9,2321b66e80,8111,8462783531
-122.313148,37.906566,9,03a7cac8b8,8387,8455848563
-122.313148,37.906566,9,7ecacf2d58,8375,8456945252
-122.313148,37.906566,9,604b920332,8512,8456946310
-122.313148,37.906566,9,9c8c7a556b,8244,8456946026
-122.313148,37.906566,9,c60c602252,8386,8455848379
-122.313148,37.906566,9,ecebefba76,8374,8455847743
-122.313148,37.906566,9,b0f8582b29,8096,8455848137
-122.313148,37.906566,9,7876070949,8104,8455848677
-122.313148,37.906566,9,e1c1b57afb,8106,8455848329
-122.313148,37.906566,9,b23c54b76c,8244,8455847899
-122.313148,37.906566,9,dc83d2df5f,8240,8455848443
-122.313148,37.906566,9,4989478d33,8089,8455847845
-122.313148,37.906566,9,c9b2174fff,8508,8455848021
-122.313148,37.906566,9,26ef11fa29,8531,8455847943
-122.313148,37.906566,9,c01bb663ab,8385,8455848787
-122.313148,37.906566,9,8866eb1e58,8252,8455848181
-122.313148,37.906566,9,6851e51e01,8375,8455848089
-122.313148,37.906566,9,f77efe263b,8374,8455848605
-122.313148,37.906566,9,07718199c0,8094,8455847793
-122.313148,37.906566,9,1e685688a8,8365,8456946506
-122.313148,37.906566,9,d85b36af8f,8372,8455848291
-122.323034,37.902244,9,523226a33d,8185,8433164763
-122.320597,37.898316,9,17929d1335,8369,8423531569
-122.313301,37.904082,9,173d8df557,8224,8413102050
-122.323282,37.90128,9,52e5d4d731,8095,8404066129
-122.323282,37.90128,9,1224a3f50c,8359,8405156296
-122.323282,37.90128,9,f13f02cf62,8194,8405152908
-122.323282,37.90128,9,2ef6505efd,8373,8404060557
-122.311928,37.897123,9,fd87ec8370,8237,8404777544
-122.322399,37.903286,9,6c2da8cf77,8048,8400264189
-122.321434,37.903574,9,03ebb813ec,8049,8396470003
-122.321305,37.90657,9,af73a5e92b,8323,8395962301
-122.319889,37.904065,9,a329bf99fa,8497,8391534118
-122.317882,37.902526,9,9346603139,8086,8369535478
-122.319867,37.904039,9,3c4d1931a7,8085,8369564660
-122.319867,37.904039,9,0ce060ba27,8054,8369545250
-122.320667,37.8985,9,287aebe99a,8195,8350728136
-122.3205,37.8985,9,fded4ab11f,8331,8349665239
-122.3205,37.8985,9,55cbc0550f,8498,8349667269
-122.320667,37.8985,9,a7ae3c23b5,8467,8349666397
-122.3205,37.898666,9,a3c6045b59,8221,8349665629
-122.3205,37.903333,9,37b433c88b,8476,8350519058
-122.321834,37.898166,9,a75e7c06c4,8076,8343195364
-122.320667,37.903666,9,bc5d85b898,8075,8338552539
-122.323946,37.899724,9,31b804dbf9,8224,8333845445
-122.319792,37.903955,9,7671a66594,8074,8317105024
-122.323667,37.907166,9,8d22392be8,8076,8316012221
-122.3145,37.898833,9,81ed265663,8364,8317066162
-122.323667,37.907166,9,337d9b22ff,8071,8317067728
-122.319706,37.903904,9,586ff087fa,8357,8313170716
-122.321309,37.898466,9,a2f2d48bb0,8071,8311568379
-122.321312,37.89848,9,3e206c4536,8504,8311571561
-122.321895,37.906562,9,733be62fd3,8213,8294858139
-122.311568,37.905945,9,341a9044f0,8205,8282192986
-122.324206,37.9,9,8212a09fa2,8489,8272048678
-122.324206,37.9,9,db554a1332,8205,8259639265
-122.319813,37.903938,9,1148ef0af4,8210,8230443439
-122.319406,37.903921,9,8e228a6873,8490,8231505740
-122.315456,37.907525,9,1b929bf202,8065,8213811065
-122.319749,37.904039,9,f4bc6dd350,8341,8200853965
-122.315114,37.898892,9,3e7d8071f7,8070,8183847692
-122.319717,37.904115,9,8a920682be,8338,8177944064
-122.322678,37.899313,9,27aec9e5ea,8058,8176213885
-122.322678,37.899313,9,3f6d8f09f6,8347,8175728293
-122.319749,37.904056,9,e8ceefd4f4,8479,8168256164
-122.322678,37.899313,9,98dd7a4569,8488,8154462897
-122.322678,37.899313,8,1fe64970b7,7252,8154465931
-122.322678,37.899313,8,334edd7d4f,7138,8153238966
-122.322678,37.899313,9,fb225dcd27,8207,8153211223
-122.322678,37.899313,8,efc096757c,7109,8153209643
-122.322678,37.899313,8,0f05e703e6,7258,8153189261
-122.322678,37.899313,8,7e219940e1,7121,8153198755
-122.322678,37.899313,9,b43013b30c,8202,8153232416
-122.322678,37.899313,8,fcedba8a58,7131,8153137750
-122.32342,37.899459,9,0393e5b3fa,8472,8149253594
-122.32342,37.899459,9,55b500d416,8335,8147004807
-122.32342,37.899459,9,4a724d7569,8335,8146348992
-122.32342,37.899459,9,9366666da6,8328,8132294730
-122.32342,37.899459,9,e28d487fcb,8325,8123456835
-122.32342,37.899459,9,7687bffe98,8184,8123448125
-122.32342,37.899459,9,3b4b032b20,8452,8065205766
-122.322767,37.900087,9,750e939566,8313,8048582079
-122.319889,37.901559,9,bbea13c091,8302,8008317222
-122.312,37.903667,9,a1b3ba2f5e,8029,7998787670
-122.321283,37.903845,9,d8d642d418,8453,7993157946
-122.320597,37.898316,9,eb21889e4b,8450,7990247066
-122.318687,37.903574,9,d19ceb8d06,8037,7904219858
-122.322789,37.900516,9,f4f434e648,8432,7876582564
-122.322828,37.900802,9,9a0d8a0cfe,8424,7804524088
-122.322333,37.9045,8,2aa4930406,7122,7777637344
-122.322368,37.9008,9,721093d56d,8425,7750060874
-122.322368,37.9008,8,9392dc44c8,7246,7743679314
-122.509625,38.457461,8,6a00638201,7287,9438611118
-122.509653,38.457494,3,0b55e9d23f,2814,9435820071
-122.509653,38.457488,4,1ff3145c08,3676,9438577668
-122.509642,38.457472,4,5daca8089a,3816,9435807055
-122.548167,38.427666,3,cca1f172b0,2815,9430358721
-122.509274,38.456716,8,09ef544150,7332,9342318621
-122.509692,38.457531,4,90431e7dcb,3822,9345104200
-122.509692,38.457531,4,c2a95f9864,3701,9342318963
-122.508212,38.45333,4,0edef39f43,3795,9345103180
-122.509692,38.457531,3,8d6141b719,2883,9342318351
-122.509692,38.457531,4,829c3a005b,3823,9342319451
-122.512216,38.438136,3,b968c47837,2861,9279697694
-122.504729,38.441741,8,cef272f7ec,7362,9279701844
-122.512216,38.438136,4,efd744ab79,3705,9276917439
-122.510737,38.444598,4,675b188d1a,3728,9276940481
-122.505489,38.444867,6,11a4b9cbe5,5479,9276923037
-122.510074,38.444199,4,7a4d7f6ab4,3774,9279717554
-122.510737,38.444598,8,6ce8d14cfe,7428,9276943549
-122.511683,38.441737,4,5464bf2fc0,3687,9279747130
-122.511625,38.442044,4,0c8d05d9d5,3680,9276958785
-122.510074,38.444199,8,c3cedec5ff,7438,9276930725
-122.510074,38.444199,4,10f81df459,3676,9279718882
-122.510074,38.444199,3,5d6505f6e4,2816,9279715626
-122.510074,38.444199,8,25c2635ef7,7413,9279709882
-122.50636,38.44401,6,b3f8324237,5522,9276926715
-122.51318,38.444094,4,dcf9f29a29,3757,9279733960
-122.510737,38.444598,6,f45923f332,5447,9276947145
-122.511625,38.442044,4,ba7267ba55,3785,9276955177
-122.515497,38.437791,4,e80cc69538,3665,8965631744
-122.547334,38.427833,9,b621a7b962,8125,8962378608
-122.547334,38.427833,9,664bc5ccac,8407,8961183171
-122.547562,38.427526,8,188529c3b4,7323,8956319940
-122.547909,38.428034,8,5ebd847798,7391,8857884090
-122.547394,38.427748,6,b9dfb949bc,5326,8857986740
-122.547909,38.428034,3,4ff413873e,2824,8857361595
-122.515497,38.437791,9,c028b35282,8258,8666157735
-122.509834,38.457666,9,3012c15119,8400,8617632425
-122.509667,38.4575,9,485f2ba038,8266,8617633159
-122.511667,38.441833,9,05f53f218d,8241,8618744200
-122.509834,38.457666,9,0a308ab5db,8114,8617632555
-122.509834,38.457666,9,98f32ec09d,8239,8617632891
-122.509834,38.457666,9,97ba25f8db,8398,8617632087
-122.509667,38.454833,9,8a0f78c770,8532,8617633643
-122.512334,38.437999,9,8c932b39f0,8265,8617635149
-122.511667,38.441833,9,6f1f0b7210,8244,8618743850
-122.510167,38.444999,9,8f6f8bb8c7,8398,8618743680
-122.509834,38.457666,9,b241a2d118,8241,8618741518
-122.512334,38.437999,9,2b1f68eed9,8533,8617634813
-122.523334,38.44,9,5ff720ca2a,8546,8617631161
-122.510167,38.455166,9,78179771c4,8545,8617633407
-122.515497,38.437791,9,bdc4e8c91c,8394,8608098631
-122.515497,38.437791,9,34abd27fb8,8391,8608287826
-122.515497,38.437791,9,72683a80ec,8107,8607198227
-122.515497,38.437791,9,3db897c33e,8533,8608306682
-122.515497,38.437791,9,6b3dea0026,8245,8607192111
-122.540107,38.441844,9,3de48fb1c1,8380,8539962125
-122.515583,38.440348,9,03ef91310f,8090,8452749006
-122.516376,38.438954,9,82d74c012d,8105,8452749402
-122.547563,38.427527,9,069e8e3425,8090,8400609460
-122.512836,38.444026,9,522af4a88e,8517,8378801919
-122.5103,38.438902,9,d6e3603d5f,8213,8336488644
-122.547514,38.428095,9,e55732db20,8357,8315115967
-122.533993,38.446152,9,467eabd197,8470,8111530894
-122.531418,38.443371,9,3766399179,8331,8111526677
-122.531418,38.443371,9,75688e186c,8193,8111527233
-122.533993,38.446152,9,5c71f2c4a2,8329,8111530604
-122.539401,38.448312,9,c65604147c,8052,8111529806
-122.531418,38.443371,9,4a21be71cb,8190,8111524789
-122.533993,38.446152,9,ed0ee3df07,8326,8111524163
-122.531418,38.443371,9,dc43049da4,8047,8111535514
-122.531418,38.443371,9,23ae63eca7,8475,8111536330
-122.531418,38.443371,9,450989fc45,8044,8111528833
-122.531418,38.443371,9,84f72cec59,8476,8111536624
-122.539948,38.448337,9,1462f9c053,8332,8111529454
-122.54249,38.449211,9,13c39434e1,8468,8111521811
-122.531418,38.443371,9,cdf63225c2,8050,8111533362
-122.54249,38.449211,9,d45ba08069,8187,8111528550
-122.531418,38.443371,9,a0e8214d0e,8048,8111527741
-122.531418,38.443371,9,2b16c64536,8473,8111528135
-122.533993,38.446152,9,71def10b72,8471,8111524415
-122.531418,38.443371,9,f33aa7b2e3,8323,8111532230
-122.533993,38.446152,9,02f7156ff2,8052,8111523337
-122.531418,38.443371,9,c9ecdf1825,8196,8111532692
-122.544765,38.449236,9,cd0d4eec74,8045,8111510943
-122.531418,38.443371,9,a3faab0be5,8045,8111516130
-122.544765,38.449236,9,13100af757,8330,8111520121
-122.544765,38.449236,9,c29d9f4972,8054,8111519407
-122.544765,38.449236,9,06e1b38604,8469,8111517996
-122.544765,38.449236,9,116d1427fd,8466,8111511643
-122.531418,38.443371,9,aaa70b4b0b,8476,8111512576
-122.54249,38.449211,9,7692c25c02,8183,8111527926
-122.531418,38.443371,9,06899ba8a6,8329,8111510501
-122.531418,38.443371,9,468a62c9c0,8184,8111516800
-122.544765,38.449236,9,b6067af20d,8476,8111522288
-122.531418,38.443371,9,b8b7ca6054,8192,8111507003
-122.544765,38.449236,9,d8c420dbd2,8325,8111514255
-122.544765,38.449236,9,fe2244a086,8049,8111515779
-122.544765,38.449236,9,f20f64126f,8328,8111519761
-122.531418,38.443371,9,fd968ab1bd,8185,8111508389
-122.544765,38.449236,9,1c578d8ac8,8190,8111519580
-122.544765,38.449236,9,21ab9434f1,8048,8111515261
-122.544765,38.449236,9,be49577e29,8185,8111517995
-122.531418,38.443371,9,4b85d9fa0c,8054,8111506679
-122.544765,38.449236,9,40eca1eaef,8046,8111525614
-122.544765,38.449236,9,99afef6c56,8185,8111518999
-122.531418,38.443371,9,a7eddba26b,8468,8111506147
-122.544765,38.449236,9,315043c212,8325,8111512365
-122.544765,38.449236,9,ea33e8f4d9,8055,8111514653
-122.531418,38.443371,9,9fc2876846,8185,8111507897
-122.544765,38.449236,9,9ae7b9b78b,8045,8111511949
-122.544765,38.449236,9,187c26da98,8186,8111520084
-122.531418,38.443371,9,40cab8fd3b,8467,8111516490
-122.544765,38.449236,9,6b9348342b,8053,8111517541
-122.531418,38.443371,9,7ec50ed88d,8332,8111506447
-122.544765,38.449236,9,83c5dff4f5,8334,8111523616
-122.544765,38.449236,9,eca1634165,8055,8111520716
-122.531418,38.443371,9,19f2053c3a,8334,8111508945
-122.544765,38.449236,9,9f5f135ec1,8332,8111516155
-122.544765,38.449236,9,3c5d096629,8043,8111524076
-122.547833,38.427833,9,7432fbc060,8305,7979868759
-122.514563,38.438799,9,b2037e9c3a,8175,7966758744
-122.633667,38.669211,9,0083dc0cdc,8271,8711388880
-122.633482,38.669177,9,4673dd3e4b,8253,8711384614
-122.623175,38.663916,9,879c666ce0,8253,8710265053
-122.633667,38.669211,9,404e545bd2,8125,8711388210
-122.633356,38.669311,9,0722183d7f,8115,8710255141
-122.633535,38.669193,9,e3e034b2f4,8135,8710327741
-122.633667,38.669211,9,e0e579e5b5,8264,8710265483
-122.626806,38.670988,9,9fb237bf15,8277,8710256113
-122.633667,38.669211,9,3b27f3a4d9,8269,8711388568
-122.633397,38.666234,9,9f9c80ee27,8065,8204381106
-122.563133,38.525892,9,7df31cd65e,8060,8247695888
-122.149587,37.239402,8,c03b62ab7d,7401,8716747268
-122.152489,37.212738,9,784c50f78c,8474,8136618271
-122.15052,37.224763,9,a78bcf85c1,8183,8136615075
-122.152528,37.212916,9,92c51ed398,8045,8136616663
-124.055546,41.463834,6,d870f8ee4f,5323,9243577829
-124.038334,41.467166,9,b0ab4db20c,8399,8709725224
-123.999606,40.137768,9,920b3314b3,8323,8124193189
-120.308381,38.276088,4,17491ccc27,3829,9295057865
-120.306334,38.278333,3,f74e6edbbd,2893,9184747731
-120.274667,38.293166,8,066a89b36a,7432,9184751557
-120.306334,38.2785,8,424761e899,7306,9184745797
-120.274834,38.292833,3,a605dd4ffa,2850,9187195756
-120.306167,38.2785,4,623d082128,3685,9187196990
-120.306334,38.2785,4,5879d9b933,3680,9187187586
-120.303667,38.278833,4,872420c8ae,3733,8932016711
-120.2715,38.2695,8,f8669d8ff2,7355,8932627954
-120.285088,38.274771,6,242a00f7d1,5342,8927667650
-120.298987,38.290255,8,c223f79d25,7322,8725577014
-120.317591,38.252928,9,5e5e0c1b20,8527,8673523289
-120.3175,38.252666,9,ee3bdf5868,8240,8662591726
-120.308399,38.273968,9,a010a5e5fd,8093,8555238167
-120.308399,38.273968,9,ff6509f609,8072,8381675205
-120.309402,38.278071,9,e33630f22e,8078,8379534006
-120.309402,38.278071,9,e362b5ee35,8373,8378447641
-120.309402,38.278071,9,9af5708d1d,8044,8378456759
-120.309402,38.278071,9,65be597b2f,8327,8378457271
-120.309402,38.278071,9,5c0a013f0b,8092,8378448139
-120.308399,38.273968,9,17d02db4fd,8221,8378455183
-120.309402,38.278071,9,d3453115ce,8518,8378455971
-120.309402,38.278071,9,0ecc0c05c7,8354,8379529584
-120.309402,38.278071,9,9d127955c6,8188,8379535506
-120.308399,38.273969,9,295f60d704,8364,8378011827
-120.308399,38.273969,9,0d14758f28,8370,8378013685
-120.308399,38.273969,9,b45b7c4ba1,8184,8378016009
-120.308399,38.273969,9,3decfc0e80,8088,8378009381
-120.308399,38.273969,9,eeb65423e9,8495,8377362607
-120.300166,38.280833,9,ed91edd59a,8343,8278436641
-120.2995,38.281166,9,50693652e5,8081,8279512096
-120.304333,38.2795,9,bc1c5e3a7a,8340,8279476612
-120.303333,38.280166,9,38c85858ce,8064,8278416335
-120.3035,38.280166,9,5a4dd08a2a,8208,8278413335
-120.3075,38.279166,9,a56e475c88,8356,8279478828
-120.305166,38.278166,9,5ed52c89e5,8354,8278427875
-120.301833,38.279333,9,883c03a2f0,8342,8278432729
-120.299166,38.282166,9,1887bba41f,8207,8278400577
-120.299166,38.281333,9,38616f409a,8348,8278382451
-120.297,38.281333,9,eeb011ec2a,8058,8278373989
-120.306666,38.277666,9,c50dd06cd1,8198,8279420764
-120.301666,38.278666,9,cee4c3120d,8351,8278369807
-120.298,38.2815,9,f3de83b539,8344,8278378223
-120.27126,38.269605,9,aa6cb34a5f,8487,8195588044
-120.284986,38.291702,9,3ac78edf50,8312,8013971010
-120.284986,38.291702,9,dd272cbc34,8319,8013720462
-120.284986,38.291702,9,3f8cfef84d,8456,8013708813
-120.303889,38.28,9,5a9d51d8c5,8441,8002179901
-120.307167,38.278333,9,4595556873,8436,7847283990
-120.307333,38.278,8,9f7fe06ae2,7265,7847288340
-120.290901,38.271599,9,2670881e84,8424,7779294138
-120.290901,38.271599,9,1182008212,8424,7779290798
-120.290901,38.271599,9,ab218a8108,8433,7779286474
-120.290901,38.271599,9,b1920c5e56,8011,7779292096
-120.290901,38.271599,9,748db2f75c,8438,7779282942
-120.290901,38.271599,9,924eb78513,8308,7779289110
-120.290901,38.271599,9,e38afc200f,8421,7779289868
-120.290901,38.271599,9,f9e81a8dc1,8300,7779288196
-120.290901,38.271599,8,f212d0e9ea,7138,7779283474
-120.290901,38.271599,8,2ce89abe29,7129,7779293806
-120.290901,38.271599,9,3aa1d7eaf3,8297,7779290298
-120.290901,38.271599,8,fc39ac49ee,7111,7779289584
-120.290901,38.271599,8,db1c888ecc,7126,7779294906
-120.290901,38.271599,9,e54598dd68,8294,7779293356
-120.290901,38.271599,9,a32c6da970,8443,7779284354
-120.290901,38.271599,9,91680206bc,8447,7779287842
-120.290901,38.271599,9,ee2992d428,8427,7779295924
-120.290901,38.271599,8,82fff17d00,7107,7779285282
-120.290901,38.271599,9,1cb432f0b4,8290,7779285758
-120.290901,38.271599,8,1695c44b14,7247,7779288670
-120.290901,38.271599,9,dc6a987be3,8430,7779286944
-120.290901,38.271599,8,25bf9907a2,7247,7779287366
-120.290901,38.271599,9,ec54c88640,8426,7779293026
-120.290901,38.271599,9,1830a9e23a,8433,7779291780
-120.290901,38.271599,9,a4fd97cdf7,8303,7779284800
-120.290901,38.271599,8,da0d202f73,7137,7779292546
-120.2715,38.2695,8,f8669d8ff2,7355,8932627954
-120.258667,38.251333,8,bf2ace5b38,7456,8932629462
-120.285088,38.274771,6,242a00f7d1,5342,8927667650
-120.285088,38.274771,4,f3975e251c,3686,8927061875
-120.27126,38.269605,9,aa6cb34a5f,8487,8195588044
-120.290901,38.271599,9,2670881e84,8424,7779294138
-120.290901,38.271599,9,1182008212,8424,7779290798
-120.290901,38.271599,8,a7941d9777,7253,7779283842
-120.290901,38.271599,9,ab218a8108,8433,7779286474
-120.290901,38.271599,9,623883ece9,8288,7779282240
-120.290901,38.271599,9,b1920c5e56,8011,7779292096
-120.290901,38.271599,9,748db2f75c,8438,7779282942
-120.290901,38.271599,9,7e12483374,8297,7779286216
-120.290901,38.271599,9,48195985eb,8439,7779294430
-120.290901,38.271599,9,924eb78513,8308,7779289110
-120.290901,38.271599,9,e38afc200f,8421,7779289868
-120.290901,38.271599,9,f9e81a8dc1,8300,7779288196
-120.290901,38.271599,8,f212d0e9ea,7138,7779283474
-120.290901,38.271599,8,2ce89abe29,7129,7779293806
-120.290901,38.271599,9,3aa1d7eaf3,8297,7779290298
-120.290901,38.271599,8,fc39ac49ee,7111,7779289584
-120.290901,38.271599,8,db1c888ecc,7126,7779294906
-120.290901,38.271599,9,e54598dd68,8294,7779293356
-120.290901,38.271599,9,a32c6da970,8443,7779284354
-120.290901,38.271599,9,91680206bc,8447,7779287842
-120.290901,38.271599,9,ac5ec0b0b8,8444,7779295502
-120.290901,38.271599,9,ee2992d428,8427,7779295924
-120.290901,38.271599,8,82fff17d00,7107,7779285282
-120.290901,38.271599,9,1cb432f0b4,8290,7779285758
-120.290901,38.271599,8,1695c44b14,7247,7779288670
-120.290901,38.271599,9,dc6a987be3,8430,7779286944
-120.290901,38.271599,8,25bf9907a2,7247,7779287366
-120.290901,38.271599,9,52676cabdb,8427,7779282544
-120.290901,38.271599,9,ec54c88640,8426,7779293026
-120.290901,38.271599,9,1830a9e23a,8433,7779291780
-120.290901,38.271599,8,8d0eb0dd42,7269,7779291256
-120.290901,38.271599,9,a4fd97cdf7,8303,7779284800
-120.290901,38.271599,8,da0d202f73,7137,7779292546
-120.275834,39.311833,4,d44cd3e7fc,3754,9195499551
-120.251834,39.319166,9,0ef8327de5,8114,8709550030
-120.251834,39.319166,9,8ae91b8874,8420,8708428799
-120.290168,39.319026,9,1952545f26,8373,8390873724
-120.23902,39.319317,9,f0300db1e7,8230,8351268762
-120.251667,39.319166,9,c7c1e16c85,8079,8326736341
-120.291,39.301333,9,d676bffd53,8363,8306939703
-120.248667,39.315666,9,d37c18b8a8,8081,8285052855
-120.244834,39.315241,9,f0c8fae14e,8345,8246644772
-120.246923,39.311425,9,ba5c31f6b3,8063,8246646136
-120.247089,39.310527,9,570fae221f,8065,8245569851
-120.244078,39.313297,9,c4a346122f,8348,8245574689
-120.247,39.310783,9,17ccd7168f,8483,8246640394
-120.276,39.317,9,769db3d468,8350,8177157797
-120.312417,39.308488,9,3be35859d8,8338,8156411224
-120.244388,39.312768,9,c231c590da,8053,8129809306
-120.311622,39.311456,9,81bb851d83,8334,8098938046
-120.314048,39.307641,9,321a69c4a8,8186,8098916865
-120.244331,39.312901,9,c601d49653,8176,8048628996
-120.246512,39.311373,9,45fb0bfc32,8031,8041558967
-120.244088,39.313399,9,ee4608b65e,8317,8037647879
-120.304444,39.308333,9,445b131d17,8031,7977145879
-120.295,39.311388,9,ae9749a2e1,8456,7977156316
-120.246663,39.311224,9,22682989fe,8035,7975096792
-120.244238,39.313033,9,1d97966fcf,8457,7975089688
-120.246427,39.31144,9,19d44eb9a2,8322,7975100136
-120.295057,39.300016,9,3409e413a1,8309,7946698598
-120.30852,39.317605,9,3164e98d4b,8172,7943939232
-120.313337,39.315811,9,5fe9f833e7,8036,7943942148
-120.313777,39.307618,9,644c35874a,8171,7909889538
-120.295277,39.311666,9,95b9a708ce,8295,7901871258
-120.295277,39.311388,9,19367172e3,8179,7901861874
-120.295277,39.311666,9,2241b8bcd7,8460,7901897354
-120.295277,39.311666,9,031d64463f,8181,7901886576
-120.295277,39.311666,9,2eb7311dfa,8460,7901879918
-120.295277,39.311388,9,a05caaff40,8318,7901837784
-120.314312,39.316327,8,8b3977a236,7139,7834570532
-120.314312,39.316327,9,7b80355a8c,8295,7834572310
-120.305909,39.317563,8,a6f8646e0a,7252,7834566204
-120.303923,39.3182,9,469091a676,8434,7834563800
-120.303923,39.3182,9,c11ea3afe3,8432,7834559560
-120.303923,39.3182,9,b673fa767f,8290,7834561600
-120.2795,39.319166,4,721cecae2b,3715,9023308082
-120.309148,39.316377,9,de079e7471,8308,7834568666
-121.918501,37.013666,3,057fccbb76,2853,9393537701
-121.893434,37.054883,4,51d2947e12,3688,9390089474
-121.893434,37.054883,6,9a204cda7f,5321,9390099556
-121.925834,36.985166,3,1de489492b,2894,9329363929
-121.925334,36.985666,8,56c3e710aa,7333,9332157898
-121.921435,36.987224,8,8fb58b5f07,7435,9277693159
-121.934552,36.978095,6,e883c565a4,5329,9265700307
-121.902237,36.978337,4,4964acacf1,3678,9243398875
-121.902626,36.977692,6,12468fbfe1,5323,9243379613
-121.925314,36.988293,6,1dfd139e4b,5550,9234667650
-121.902334,37.0,3,babd99152c,2841,9188509033
-121.902334,37.0,6,2be75b8126,5515,9191304320
-121.902334,37.0,6,5b579c5dba,5451,9191301968
-121.8515,37.0,4,072b8b9e8e,3789,9179486930
-121.8515,37.0,6,e91c281bae,5334,9177271195
-121.8515,37.0,8,b9cb084097,7381,9177270219
-121.902626,36.977692,8,3212ce868f,7399,9137840963
-121.902626,36.977692,3,04b5b5126c,2848,9137514353
-121.860992,36.983397,8,28d64d2e8a,7429,9107948821
-121.860948,36.983191,8,24a824a69d,7388,9107939987
-121.860992,36.983397,3,67cab81b48,2813,9110172380
-121.861017,36.983391,8,a19cf69155,7369,9107941383
-121.888429,37.054786,4,957cde44a3,3685,9092263397
-121.888429,37.054786,4,3851929178,3701,9073336378
-121.936161,36.987514,4,f7ef1a5b19,3725,9060421670
-121.933436,36.986931,8,57726c995a,7455,9060429336
-121.902962,37.0383,4,d1c98e7889,3771,9037289587
-121.902839,37.035163,6,f6a683981d,5333,9037322123
-121.903784,37.035919,8,5c007189b9,7385,9037303795
